Make,Fuel,EngineCylinders,AverageHighwayMPG,AverageCityMPG,Model,Image
Acura,Gasoline,4,35,25,ILX,https://media.ed.edmunds-media.com/acura/ilx/2017/oem/2017_acura_ilx_sedan_technology-plus-and-a-spec-packages_fq_oem_1_1600.jpg
Acura,Gasoline,6,28,21,,
Alfa Romeo,Gasoline,4,33,24,Giulia,https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/wp-content/uploads/2016/10/2017-Alfa-Romeo-Giulia-112.jpg
Alfa Romeo,Gasoline,6,24,17,,
Aston Martin,Gasoline,12,19,12,DB11,https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/wp-content/uploads/2016/02/2017-Aston-Martin-DB11-104.jpg?crop=0.840xw:0.771xh;0.145xw,0.109xh&resize=2048:*
Audi,Gasoline,4,30,23,,
Audi,Gasoline,6,27,19,,
Audi,Gasoline,8,26,17,,
Audi,Gasoline,10,22,14,R8,https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/wp-content/uploads/2016/07/2017-Audi-R8-V-10-Plus-103.jpg?crop=0.505xw:0.824xh;0.327xw,0.176xh&resize=1200:*
Audi,Gasoline,4,32,24,,
Bentley,Gasoline,8,22,13,,
Bentley,Gasoline,12,20,12,Continental GT W12,https://www.autobahnsouth.com/imagetag/186/main/l/Used-2017-Bentley-Continental-GT-W12-1656004196.jpg
BMW,Diesel,4,41,30,,
BMW,Diesel,6,29,23,335d xDrive,https://images.clickdealer.co.uk/vehicles/3500/3500484/large1/75794287.jpg
BMW,Electricity,0,109,133,i3,https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/17q4/692997/2017-bmw-i3-ev-test-review-car-and-driver-photo-693636-s-original.jpg?crop=0.611xw:1.00xh;0.191xw,0&resize=1200:*
BMW,Gasoline,2,33,36,230i,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQIU3AgoCi2k6UdqYiZ0BEBSDNfIIJ7DXLyHDKg7RcytMoApxxQYGuoaHsmAHMes3x-HG1T-XJA_VzDRWjyD8Who-xNxr2SH0uoBIKHuex4lw
BMW,Gasoline,3,29,28,,
BMW,Gasoline,4,32,23,,
BMW,Gasoline,6,28,19,,
BMW,Gasoline,8,23,15,,
BMW,Gasoline,12,20,13,,
Buick,Gasoline,4,27,20,,
Buick,Gasoline,4,31,23,,
Buick,Gasoline,6,26,18,,
Cadillac,Gasoline,4,30,22,,
Cadillac,Gasoline,6,25,17,,
Cadillac,Gasoline,8,21,14,,
Cadillac,Gasoline,4,32,22,,
Cadillac,Gasoline,6,26,18,,
Cadillac,Gasoline,8,21,15,,
Chevrolet,Diesel,4,29,21,Colorado Diesel,https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/17q3/685270/2017-chevrolet-colorado-zr2-diesel-test-review-car-and-driver-photo-685312-s-original.jpg
Chevrolet,Electricity,0,110,128,Bolt EV,https://media.ed.edmunds-media.com/chevrolet/bolt-ev/2017/oem/2017_chevrolet_bolt-ev_4dr-hatchback_premier_fq_oem_1_1600.jpg
Chevrolet,Gasoline,4,31,21,,
Chevrolet,Gasoline,8,23,15,,
Chevrolet,Gasoline,4,34,27,,
Chevrolet,Gasoline,6,24,17,,
Chevrolet,Gasoline,8,21,15,,
Chrysler,Gasoline,8,25,16,,
Chrysler,Gasoline,4,36,23,,
Chrysler,Gasoline,6,29,20,,
Dodge,Gasoline,8,24,15,,
Dodge,Gasoline,8,23,14,,
Dodge,Gasoline,10,19,12,,
Dodge,Gasoline,4,25,19,Dart,https://di-uploads-pod10.dealerinspire.com/dupagecdjr/uploads/2017/06/2016DodgeDart-1024x545.jpg
Dodge,Gasoline,6,27,18,,
Ferrari,Gasoline,8,22,16,,
Ferrari,Gasoline,12,16,12,812 Superfast,https://media.wired.com/photos/5926764eaf95806129f4f85d/master/pass/ferrari_812-Superfast_TA.jpg
Fiat,Electricity,0,103,121,,
Fiat,Gasoline,4,34,26,,
Fiat,Gasoline,4,30,22,500,https://www.iihs.org/cdn-cgi/image/width=636/api/ratings/model-year-images/2312/
Ford,Electricity,0,96,118,,
Ford,Gasoline,4,25,19,,
Ford,Gasoline,6,18,11,,
Ford,Gasoline,8,21,14,,
Ford,Gasoline,3,40,29,,
Ford,Gasoline,4,31,24,,
Ford,Gasoline,6,23,17,,
Ford,Gasoline,8,22,15,,
Genesis,Gasoline,6,24,17,,
Genesis,Gasoline,8,23,15,,
Genesis,Gasoline,6,27,17,,
GMC,Diesel,4,29,21,,
GMC,Gasoline,4,27,20,,
GMC,Gasoline,6,23,17,,
GMC,Gasoline,8,21,15,,
Honda,Gasoline,4,38,30,,
Honda,Gasoline,4,37,29,,
Honda,Gasoline,6,28,19,,
Hyundai,Electricity,0,122,150,Ioniq Electric,https://media.ed.edmunds-media.com/hyundai/ioniq-electric/2017/oem/2017_hyundai_ioniq-electric_4dr-hatchback_limited_fq_oem_1_1600.jpg
Hyundai,Gasoline,4,34,27,,
Hyundai,Gasoline,6,25,18,,
Infiniti,Gasoline,4,30,22,,
Infiniti,Gasoline,6,27,20,Q50,https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/wp-content/uploads/2017/02/2017-Infiniti-Q50-Signature-Edition-107.jpg?crop=0.743xw:0.694xh;0.147xw,0.282xh&resize=1200:*
Infiniti,Gasoline,8,22,15,,
Infiniti,Gasoline,4,27,25,,
Jaguar,Diesel,4,39,30,XE 20d,https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/16q3/669461/2017-jaguar-xe-20d-awd-tested-review-car-and-driver-photo-670911-s-original.jpg?fill=1:1&resize=1200:*
Jaguar,Gasoline,4,30,21,,
Jaguar,Gasoline,6,26,18,,
Jaguar,Gasoline,8,23,15,,
Jeep,Gasoline,6,27,19,,
Jeep,Gasoline,8,22,14,,
Jeep,Gasoline,4,31,24,,
Jeep,Gasoline,8,19,13,,
Jeep,Gasoline,4,27,21,,
Jeep,Gasoline,6,22,17,,
Kia,Electricity,0,92,120,,
Kia,Gasoline,8,23,15,,
Kia,Gasoline,4,33,27,,
Kia,Gasoline,6,25,18,,
Lamborghini,Gasoline,10,21,14,,
Lamborghini,Gasoline,12,17,10,,
Land Rover,Diesel,6,28,22,,
Land Rover,Gasoline,4,27,20,,
Land Rover,Gasoline,6,23,17,,
Land Rover,Gasoline,8,19,14,,
Lexus,Gasoline,4,30,22,,
Lexus,Gasoline,6,28,21,,
Lexus,Gasoline,8,22,16,,
Lexus,Gasoline,4,36,39,,
Lexus,Gasoline,6,28,20,,
Lincoln,Gasoline,4,29,23,,
Lincoln,Gasoline,6,24,16,,
Lotus,Gasoline,6,24,17,,
Maserati,Gasoline,6,24,16,,
Maserati,Gasoline,8,20,14,,
Mazda,Gasoline,4,34,26,,
Mazda,Gasoline,4,35,27,,
McLaren Automotive,Gasoline,8,23,16,,
Mercedes-Benz,Electricity,0,82,85,B-Class Electric Drive,https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/13q1/509414/2014-mercedes-benz-b-class-electric-drive-photo-509419-s-986x603.jpg?crop=1.00xw:0.817xh;0,0.162xh&resize=1200:*
Mercedes-Benz,Gasoline,4,30,23,,
Mercedes-Benz,Gasoline,6,25,19,,
Mercedes-Benz,Gasoline,8,22,16,,
Mercedes-Benz,Gasoline,12,20,13,S65 AMG Coupe,https://car-images.bauersecure.com/wp-images/12380/mercedes-amg-s65-01.jpg
MINI,Gasoline,4,33,24,,
Mitsubishi,Electricity,0,102,121,,
Mitsubishi,Gasoline,6,27,20,,
Mitsubishi,Gasoline,3,42,35,,
Mitsubishi,Gasoline,4,31,24,,
Nissan,Electricity,0,101,124,,
Nissan,Gasoline,4,31,26,,
Nissan,Gasoline,6,26,18,,
Nissan,Gasoline,4,33,26,,
Nissan,Gasoline,6,25,18,,
Nissan,Gasoline,8,20,14,,
Porsche,Gasoline,4,27,21,,
Porsche,Gasoline,6,26,19,,
Porsche,Gasoline,8,21,14,,
Ram,Gasoline,8,21,14,,
Ram,Gasoline,4,28,21,,
Ram,Gasoline,6,24,17,,
Rolls-Royce,Gasoline,12,19,12,Phantom,https://car-images.bauersecure.com/wp-images/12364/rr_phantom_01.jpg
Roush Performance,Gasoline,8,23,14,Mustang,https://www.roushperformance.com/cdn/shop/files/2017_ROUSH_P-51_MUSTANG.jpg?v=1701721868
smart,Gasoline,3,39,32,Fortwo,https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/16q3/669461/2017-smart-fortwo-electric-drive-first-drive-review-car-and-driver-photo-671216-s-original.jpg?fill=1:1&resize=1200:*
Subaru,Gasoline,4,27,21,,
Subaru,Gasoline,4,33,25,,
Subaru,Gasoline,6,28,20,,
Tesla,Electricity,0,98,92,Model S,https://media.ed.edmunds-media.com/tesla/model-s/2017/oem/2017_tesla_model-s_sedan_p100d_fq_oem_1_1600.jpg
Toyota,Gasoline,4,30,23,,
Toyota,Gasoline,4,35,32,,
Toyota,Gasoline,6,25,20,,
Toyota,Gasoline,8,18,13,,
Volkswagen,Gasoline,4,28,21,,
Volkswagen,Gasoline,4,33,24,,
Volkswagen,Gasoline,6,25,18,,
Volvo,Gasoline,4,29,22,,
Volvo,Gasoline,4,32,23,,
